公司名称,搜索结果,名称是否一致,企业电话,企业邮箱,统一社会信用代码,纳税人识别号,注册号,机构代码,企业类型,经营状态,注册资本,成立日期,登记机关,经营期限,所属地区,核准日期,企业地址,经营范围
广州杰赛科技股份有限公司,广州杰赛科技股份有限公司,一致,020-84118000,zfzhere@163.com,914401012312130384,914401012312130384,440101000006499,231213038,股份有限公司,在业,"57,115.722(万人民币)",1994-11-19,广州市工商行政管理局,1994-11-19 至 永续经营,广州市,2018-12-27,广州市海珠区新港中路381号,软件开发;信息系统集成服务;通信设施安装工程服务;通信线路和设备的安装;电子自动化工程安装服务;保安监控及防盗报警系统工程服务;消防设施工程专业承包;金属表面处理及热处理加工;安全技术防范系统设计、施工、维修;商品零售贸易（许可审批类商品除外）;机电设备安装工程专业承包;工程施工总承包;工程造价咨询服务;电子产品设计服务;对外承包工程业务;空气污染监测;噪声污染监测;通信系统设备制造;电子、通信与自动控制技术研究、开发;建筑劳务分包;网络技术的研究、开发;计算机技术开发、技术服务;建筑工程后期装饰、装修和清理;水污染监测;计算机外围设备制造;楼宇设备自控系统工程服务;计算机网络系统工程服务;房屋安全鉴定;编制工程概算、预算服务;广播电视接收设备及器材制造（不含卫星电视广播地面接收设施）;电子设备工程安装服务;计算机应用电子设备制造;信息技术咨询服务;其他工程设计服务;能源技术研究、技术开发服务;人防工程防护设备的制造;货物进出口（专营专控商品除外）;智能化安装工程服务;地理信息加工处理;计算机及通讯设备租赁;企业管理咨询服务;安全智能卡类设备和系统制造;计算机信息安全设备制造;机电设备安装服务;雷达、导航与测控系统工程安装服务;监控系统工程安装服务;智能卡系统工程服务;通信系统工程服务;卫星及共用电视系统工程服务;广播系统工程服务;贸易代理;市场调研服务;工程技术咨询服务;工程建设项目招标代理服务;工程项目管理服务;工程总承包服务;工程地质勘察服务;房屋建筑工程设计服务;电子工程设计服务;通信工程设计服务;数据处理和存储服务;工程和技术研究和试验发展;商品批发贸易（许可审批类商品除外）;放射性污染监测;技术进出口;通信终端设备制造;计算机整机制造;应用电视设备及其他广播电视设备制造;集成电路制造;电子元件及组件制造;印制电路板制造;工程结算服务;安全技术防范产品制造;防雷工程专业设计服务;劳务派遣服务;跨地区增值电信服务（业务种类以《增值电信业务经营许可证》载明内容为准）
恒一电气集团有限公司,恒一电气集团有限公司,一致,0577-62982359,hengyi-cn@vip.163.com,9133038271955352X7,9133038271955352X7,330382000158625,71955352X,有限责任公司(自然人投资或控股),存续,"5,800(万人民币)",1999-07-20,乐清市市场监督管理局,1999-07-20 至 2079-06-06,乐清市,2015-12-10,乐清市北白象镇白塔王工业区,高低压电气成套设备及配件、高低压电力电容器、补偿器、高低压电气元件、电子元器件、仪器仪表（不含计量器具）、电线电缆、气动元件、机械设备、焊割设备、五金工具、制冷设备、通讯器材、工业自动化设备、塑胶件、灯具灯饰、矿用电器、汽车配件、摩托车配件、家具制造、加工、销售；金属材料机械加工、销售；建筑材料、家用电器、消防器材、储能电器及充电桩、智能办公设备销售；对房地产投资；计算机软件开发；货物运输；货物进出口、技术进出口。
山东招金膜天股份有限公司,山东招金膜天股份有限公司,一致,0535-8118508,postmaster@chinamotian.cn,913706001652519757,913706001652519757,370685018027596,165251975,其他股份有限公司(非上市),在业,"8,037(万人民币)",1998-01-08,烟台市市场监督管理局,1998-01-08 至 永续经营,烟台市,2019-04-29,山东省招远市国大路280号,膜、膜组件、膜分离设备、水处理设备及相关产品制造销售；水处理工程、污水及中水回用工程的设计、安装；技术推广服务；从事环保工程专业和机电设备安装工程专业承包业务；销售机械设备；工程勘察设计；工程技术咨询；塑料制品制造；钢架结构制作；海水淡化、土壤修复、生态修复、流域治理的技术开发服务；提供环境污染治理设施运营管理服务；货物及技术的进出口；施工总承包；销售环保产品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
江西国金建设集团有限公司,江西国金建设集团有限公司,一致,0791-88532809,362941642@qq.com,91360121690990266T,91360121690990266T,360100210160751,690990266,有限责任公司(自然人投资或控股),存续,"23,000(万人民币)",2009-08-04,南昌县市场和质量监督管理局,2009-08-04 至 2028-08-03,南昌县,2018-11-15,江西省南昌市南昌县武阳镇保丰村,房屋建筑工程、市政公用工程、公路工程、水利水电工程、钢结构工程、地基与基础工程、土石方工程、建筑装修装饰工程、建筑幕墙工程、园林绿化工程、体育场地铺设、房地产开发；建筑智能化工程、消防工程、环保工程、机电工程、建筑劳务分包、钢管、扣件的租赁、建筑材料的销售；房屋拆除工程；城市道路照明工程；古建筑工程、防水防腐保温工程。（依法须经批准的项目，须经相关部门批准后方可开展经营活动）
江苏德林环保技术有限公司,江苏德林环保技术有限公司,一致,025-69933195,2850753453@qq.com,91320000670128898X,91320000670128898X,320000000064293,670128898,有限责任公司(自然人投资或控股),存续,"3,005(万人民币)",2007-12-10,南京市市场监督管理局,2007-12-10 至 2037-12-09,江苏,2017-12-05,南京市江宁区东山街道润麒路88号,环保技术研发、推广、转让、咨询及服务；环保设备、仪器仪表及零部件研发、生产、安装、销售；化工产品（不含危险化学品）、电子产品、五金交电、橡胶制品、通讯器材（不含无线电移动电话、地面卫星接收设备）的销售；互联网数据服务；计算机软件开发、销售；信息系统集成服务；环境监测仪器、环保设备的维修；环保工程、机电工程、电子工程、市政工程、水利水务工程、节能工程的设计、施工；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
东方通信股份有限公司,东方通信股份有限公司,一致,-88865228,eastcom@eastcom.com,9133000014293866XE,9133000014293866XE,330000000006096,14293866X,其他股份有限公司(上市),存续,"125,600(万人民币)",1996-08-01,浙江省工商行政管理局,1996-08-01 至 永续经营,浙江,2018-07-16,浙江省杭州市滨江区东信大道66号,开展对外承包工程业务（范围详见《中华人民共和国商务部（批件）》。  移动通信，程控交换，光电传输，激光照排设备、电子自助服务设备、自动售检票设备、自动售货机、自动柜员机、银行自助服务终端设备、电子支付终端设备、集成电路读写设备及其配套产品以及计算机软件系统和通信网络终端产品的研制、开发、制造、销售，代理与服务，计算机及其配件、金融机具设备及配件的维修、维护、租赁，安全技术防范工程设计、施工、维修；接受金融机构委托从事金融信息技术外包、金融业务流程外包及金融知识流程外包；通信系统工程的设计、集成、施工、技术咨询与培训，经济信息咨询，经营本企业自产机电产品、成套设备及相关技术的出口业务；经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、备品备件、零配件及技术的进口业务（国家实行核定经营的１４种进口商品除外），开展本企业“三来一补”业务。
江苏一重数控机床有限公司,江苏一重数控机床有限公司,一致,0514-86829816,yingxiao@yizhong.cc,913210127855855117,913210127855855117,321088000040916,785585511,有限责任公司,在业,"5,258(万元人民币)",2006-03-07,扬州市江都区市场监督管理局,2006-03-07 至 2026-03-02,扬州市,2017-06-13,扬州市江都区城北工业园,数控高速钻床、舰船智能化生产线、水下机器人、舰船焊缝清根机器人、数控刨边机、数控刨铣边机、双面、三面、四面数控板材坡口重载切削柔性机床、制管/制杆智能化生产线、框式压头移动旋转油压机、单臂油压机、四柱油压机、卧式轮轴油压机、智能机器人、数控龙门铣加工中心、TK系列落地镗加工中心的研发、制造、销售，自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
苏州华兴致远电子科技有限公司,苏州华兴致远电子科技有限公司,一致,0512-62958268,changzheng@shenzhou-gaotie.com,91320594572591387B,91320594572591387B,320594000189146,572591387,有限责任公司（法人独资）,在业,"10,000(万元人民币)",2011-03-31,苏州工业园区市场监督管理局,2011-03-31 至 2021-03-30,苏州市,2017-10-30,苏州工业园区新平街388号腾飞科技园16号楼,电子技术开发、技术咨询、技术服务、技术转让、技术推广；计算机软、硬件系统的技术开发、技术服务；生产：计算机软硬件及周边设备、光磁电检测设备；销售：计算机软件及周边设备、电子产品、机械电子设备、光磁电检测设备；从事技术、电子元器件及软件的进出口业务；建筑智能化工程设计、施工；开发、销售电气设备及配件、铁路检测设备及配件；系统集成设计开发，安全技术防范工程设计开发、实施及维护。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
上海神农节能环保科技股份有限公司,上海神农节能环保科技股份有限公司,一致,021-58039245,chenj@senonsh.com,913100007611690039,913100007611690039,310225000394554,761169003,股份有限公司(非上市、自然人投资或控股),存续,"9,950(万人民币)",2004-04-12,上海市市场监督管理局,2004-04-12 至 永续经营,上海,2004-04-12,上海市浦东新区宣桥镇宣春路211号,从事环保科技、化工科技、冶炼技术、发电技术、造纸技术、生物科技、食品科技、制药科技领域内的技术开发、技术转让、技术服务及技术咨询，机电设备安装工程专业施工，蒸发器、干燥塔等设备的生产，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
深圳市鼎正鑫科技有限公司,深圳市鼎正鑫科技有限公司,一致,0755-33183902,dzmgunited@126.com,91440300685371487U,91440300685371487U,440301103913113,685371487,有限责任公司,存续,100（万元）,2009-03-25,深圳市市场监督管理局,2009-03-25 至 2079-06-06,深圳市,2017-03-07,深圳市光明新区公明街道楼村社区第一工业区木墩路24号第一栋一楼,塑胶制品、电子产品、节能环保产品、礼品的技术开发；国内贸易；货物及技术进出口。（以上均不含法律、行政法规、国务院决定禁止及规定需前置审批项目）
深圳市冠旭电子股份有限公司,深圳市冠旭电子股份有限公司,一致,0755-84090133,XIURONG.YAN@GRANDSUN.COM,91440300279441291K,91440300279441291K,440306103070289,279441291,非上市股份有限公司,存续,"3,900（万元）",1997-11-24,深圳市市场监督管理局,1997-11-24 至 2079-06-06,深圳市,2018-01-12,深圳市龙岗区坪地街道高桥工业园东片区,国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；企业形象策划；货物及技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）；软件技术的开发及销售。
深圳市京泉华科技股份有限公司,深圳市京泉华科技股份有限公司,一致,0755-27040111,dujh@jqh.cc,91440300279247552R,91440300279247552R,440301104002183,279247552,股份有限公司（上市、自然人投资或控股）,存续,"18,000（万元）",1996-06-25,深圳市市场监督管理局,1996-06-25 至 2079-06-06,深圳市,2019-06-28,深圳市龙华区观澜街道桂月路325号京泉华工业园,电源类产品（含电源适配器、充电器、LED驱动电源、逆变电源、储能电源，通讯电源、无线充电电源及其它智能电源）及相关电子零配件；电子变压器（含高、低频电源变压器）、电源滤波器、电感、电抗器等磁性元器件；特种变压器、轨道交通类磁性器件；光伏逆变器；新能源汽车充电设备、UPS不间断电源、新能源器件、汽车电子、电力电子及医疗电子产品的研发及销售；兴办实业（具体项目另行申报）；国内贸易（不含专营、专控、专卖商品）；货物、技术进出口业务（不含分销、国家专营专控商品）；自有房屋租赁。
深圳欧陆通电子有限公司,深圳欧陆通电子股份有限公司,名称不一致,13823349907,liweilan@honor-cn.com,914403006189162804,914403006189162804,440306501140088,618916280,其他股份有限公司（非上市）,存续,"7,590（万元）",1996-05-29,宝安局,1996-05-29 至 永续经营,深圳市,2019-05-16,深圳市宝安区西乡街道固戍二路星辉工业厂区厂房一、二、三（星辉科技园A、B、C栋）,^生产经营各类变压器、稳压电源、磁敏传感器及其它电子元器件（不含国家限制项目）、灯具及照明装置。电子数码产品及配件、移动电源、计算机及其周边产品、蓝牙产品、家电音响产品及配件、无线数据传输设备和终端、光传输设备和终端的研发、批发、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）。数据传输软件、自动化控制系统、通信技术的研发；计算机软件开发，转让自行开发的技术成果。
广州白云电器设备股份有限公司,广州白云电器设备股份有限公司,一致,020-86060164,bye@bydq.com.cn,914401011910641611,914401011910641611,4401112001507,191064161,股份有限公司,在业,"44,274.0648(万人民币)",1989-07-05,广州市市场监督管理局,1989-07-05 至 永续经营,广州市,2019-05-30,广州市白云区神山镇大岭南路18号,配电开关控制设备制造;电力电子元器件制造;电气设备修理;机械设备租赁;电力输送设施安装工程服务;货物进出口（专营专控商品除外）;技术进出口;信息系统集成服务;电子元器件零售;电子元器件批发;开关、插座、接线板、电线电缆、绝缘材料零售;电气设备批发;电气设备零售;电子、通信与自动控制技术研究、开发;电子产品设计服务;电缆桥架制造;母线槽制造;公路运营服务;不间断供电电源制造;不间断供电电源销售;稳压电源制造;稳压电源销售;开关电源制造;
贵州东方世纪科技股份有限公司,贵州东方世纪科技股份有限公司,一致,0851-85626860,1850471246@qq.com,91520115714306554M,91520115714306554M,520115000097082,714306554,其他股份有限公司(非上市),存续,"4,150(万元)",2000-03-16,贵阳国家高新技术产业开发区行政审批局,2000-03-16 至 永续经营,贵阳市,2015-06-18,贵州省贵阳市贵阳国家高新技术产业开发区金阳知识产业园创业大厦５楼,一般经营项目：信息产品及信息技术的开发、研究；计算机软件开发、销售；计算机信息系统集成；建设项目水资源论证；水文水资源调查评价；建设工程项目管理；水利工程质量检测；安防工程施工、设计、维修。
宏伟电气集团有限公司,宏伟电气集团有限公司,一致,0577-55772218,12562984@qq.com,913303821455557289,913303821455557289,330382000049274,145555728,有限责任公司(自然人投资或控股),存续,"30,000(万人民币)",2000-06-16,乐清市市场监督管理局,2000-06-16 至 2079-06-06,乐清市,2017-06-22,乐清市柳市镇长虹工业区长荣路25号,配电开关控制设备、高低压电器及成套设备、户外高压隔离开关、高压熔断器、高压避雷器、户内外真空断路器、高压无功补偿成套装置、电力金具、电线电缆、电子元件、自动化消防报警系统设备、计算机设备、机械设备、灯具照明设备、家用电器配件、防爆电器、发电成套设备、水暖器材、阀门、五金工具、模具、自动化检测设备、校验台研发、制造、加工、销售；电力电气工程安装；计算机软件开发；广告设计、制作、发布；货物进出口、技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
浙江华仪电子股份有限公司,浙江华仪电子股份有限公司,一致,0577-62558698,huayielec@heag.com,91330300256020208D,91330300256020208D,330382000037616,256020208,其他股份有限公司(非上市),存续,"11,000万元人民币",1997-02-27,温州市市场监督管理局,1997-02-27 至 永续经营,温州市,2018-12-29,浙江省乐清经济开发区华仪风电产业园,电能表、热量表、数据采集终端设备、电力线载波通信模块(含芯片)、智能重合闸断路器、智能计量设备、电能质量设备、仪器仪表、电子元器件、电器机械及器材技术开发、制造、加工、销售;集成电路、计算机软件的设计、销售;货物进出口、技术进出口。
四川深蓝环保科技有限公司,四川深蓝环保科技有限公司,一致,028-85336700,deepblue@sc-deepblue.com,91510100743614986T,91510100743614986T,510100000067879,743614986,有限责任公司（自然人投资或控股的法人独资）,存续,"30,000(万人民币)",2002-10-23,成都市工商行政管理局,2002-10-23 至 2022-10-22,成都市,2018-09-25,中国（四川）自由贸易试验区成都市高新区吉泰三路8号新希望国际1栋1单元24层（1-8号）,环保设备、环保器材的研发、设计、生产、销售、安装调试（限工业园区内生产），环保工程的承包、施工、安装，环保工程工艺设计；市政公用工程的承包、设计施工、安装；建筑机电安装工程的承包、施工、安装；批发零售：给排水设备、化工原料（不含危险品）、机电设备；提供与环保相关的技术咨询、技术服务和运营管理；环保污染治理设施的投资运营（不得从事非法集资、吸收公众资金等金融活动）；废弃物资源化与新能源技术研发与应用，计算机软件开发及网络系统工程。机电工程施工和设计；环境工程设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
